col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7
Muniv,XXXIX,VIII,XXXI,Quinarius,VIII,XXIX,CXXIX
Murytub,XXXIX,IX,CXXI,Quinarius,V,VIII,CXXV
Murytub,XL,VIII,CXVII,Aureus,V,XXI,V
Atamora,XXXVII,VIII,XII,Quinarius,V,VI,MCCCXXXVII
Murytub,XL,XII,CXL,Denarius,VII,III,DXLIX
Muniv,XL,VIII,XXVI,Denarius,VII,XXV,DXXXVI
Munarg,XXXIX,III,CXXV,Denarius,VI,II,CCXXXIII
Muniv,XXXV,I,XXI,Denarius,VI,VIII,CDLXXV
Muniv,XXXVIII,I,XXXII,Quinarius,II,XII,CLI
Suilis,XXXIX,IV,XXIII,Denarius,III,IX,MMMDXCI
Murytub,XXXV,VIII,CXXXV,Denarius,V,XXIII,DCLXXV
Murytub,XXXVII,XI,CLXXIX,Denarius,VII,XV,DXC
Munarg,XXXVII,XII,CXLV,Denarius,V,XII,CCCLIII
Murytub,XXXV,V,CXXXIII,Denarius,I,IV,DCXLVII
Muniv,XXXV,VII,XXXII,Aureus,VII,XXIX,VI
Munarg,XXXV,III,CXCV,Quinarius,VII,I,CLXX
Munarg,XXXVI,V,CLXXII,Quinarius,IX,I,CXXXV
Munarg,XL,VII,CXCI,Denarius,VIII,XIV,CCII
Munarg,XL,X,CXLVII,Denarius,IV,VIII,CDLXXIX
Muniv,XXXV,VI,XXIX,Denarius,VI,XI,DLXXXII
Muniv,XXXV,VII,XXIV,Denarius,IX,VI,CDXXII
Muniv,XXXV,I,XX,Aureus,V,XVI,VII
Muniv,XXXIX,XI,XIII,Denarius,VIII,VIII,DXXXVII
Munarg,XL,IV,CXLI,Denarius,V,XXVI,CXCVI
Murytub,XXXVIII,XI,CLVI,Quinarius,VI,V,CLVIII
Murytub,XXXV,IV,CXXXVII,Denarius,V,X,DCCLXXII
Munarg,XXXVI,I,CLXXV,Aureus,IV,VII,IV
Munarg,XXXIX,XI,CXX,Quinarius,IV,V,XCVI
Munarg,XXXVIII,IV,CLXXVIII,Denarius,VIII,X,CCLXXXVI
Munarg,XXXVII,VI,CXXIII,Quinarius,VI,XIV,XCVIII
Munarg,XXXVI,II,CXCVI,Denarius,VI,XX,CCCXII
Muniv,XXXIX,I,XXXVI,Denarius,IV,XIII,DCCV
Munarg,XXXVI,IX,CXCVI,Quinarius,VI,I,CXL
Munarg,XXXVI,X,CXIX,Aureus,V,XXIX,IV
Muniv,XXXVI,XI,XXX,Denarius,III,XI,CDXCV
Murytub,XL,IV,CVIII,Denarius,VII,VIII,DXLI
Munarg,XXXVI,IX,CXCII,Denarius,IV,XXIII,CCCXXVII
Murytub,XXXV,X,CXXXI,Aureus,VI,XV,IX
Muniv,XXXV,II,XXXI,Aureus,IV,XVIII,V
Muniv,XL,XII,XXV,Denarius,VII,XIV,DC
Muniv,XXXVIII,X,XXII,Quinarius,VII,XI,CXXVIII
Muniv,XXXV,XII,XXII,Aureus,VI,VI,VI
Muniv,XL,IX,XXXII,Denarius,VIII,XXIX,CDLXXVII
Murytub,XXXVII,II,CLIX,Quinarius,VII,VIII,CCLXXII
Murytub,XXXVII,II,CXCIX,Quinarius,V,XV,CCLXXVIII
Murytub,XXXV,I,CVIII,Denarius,VI,VII,DCLXXXII
Murytub,XXXIX,IX,CXXII,Denarius,VII,VI,DXCIII
Murytub,XXXVIII,III,CXLVII,Denarius,VII,XII,DCIII
Muniv,XXXIX,X,XXVII,Quinarius,VI,II,XCIX
Munarg,XXXV,I,CXXIII,Denarius,IV,XVII,CCCLXVI
Muniv,XXXV,V,XVI,Quinarius,V,II,CCLXXXIII
