detected_name,count
not_a_flower,1430
Гвоздика,1023
Ирис,1018
Лилия,779
Роза,668
Фрезия,588
Лизиантус,511
Левкой,465
Скабиоза,456
Альстромерия,451
Циния,437
Вероника,422
Каланхоэ,418
Орхидея,362
Статица,355
Пион,331
Лаванда,326
Гербера,280
Нарцисс,240
Тюльпан,229
Цикламен,217
Лилии восточные,210
Фиалка,207
Гипсофила,192
Астра,186
Нигелла,184
Ранункулюс,181
Фикус,162
Хризантема,146
Калла,131
Папоротник,124
Бромелия,124
Бегония,119
Хлорофитум,115
Антуриум,112
Пахира,108
Дельфиниум,104
Драцена,103
Суккуленты,91
Стрелиция,85
Гиацинт,84
Анемон,76
Аглаонема,68
Агератум,65
Эписция,62
Алое,62
Амариллис,58
Птицемлечник,57
Диффенбахия,55
Эустома,53
Замиокулькас,52
Спатифиллум,50
Декабрист,48
Сансевиерия,47
Лилейник,45
Гиппеаструм,41
Монстера,40
Орхидея Ванда,39
Плющ,39
Шеффлера,36
Пеларгония,36
Аспидистра,36
Зефирантес,36
Кротон,34
Хойя,32
Кактусы,24
Бальзамин,22
Мирт,21
Гелиотроп,19
Адениум,18
Лантана,17
Камелия,12
Плюмерия,12
Глоксиния,11
Гастерия,9
Хамедорея,9
Хамелациум,8
Кливия,7
Литопсы,6
Бегония вечноцветущая,5
Стефанотис,5
Лудизия,5
Кариса,5
Колеус,4
Нертера,4
Лавр,4
Бугенвиллия,4
Кампанула,4
Пентас,4
Традесканция,3
Пахистахис,2
Сциндапсус,2
Ардизия,2
Эхинокактус,2
Бругмансия,2
Кариота,1
Крестовник Роули,1
Кальцеолярия,1
Фатсия,1
